state_id,state,share,minutes_per_day
8,SLEEP,0.3459194933616728,498.12407044080885
14,OUT_OF_HOME,0.23882839612143078,343.9128904148603
5,SCREENS_LEISURE,0.15567701905530418,224.17490743963805
12,QUIET_SOCIAL,0.060120531743017985,86.57356570994591
9,EAT_DRINK,0.04886261950219579,70.36217208316194
10,PERSONAL_CARE,0.03354560465737723,48.305670706623204
11,CARE_AT_HOME,0.02588871792031898,37.27975380525933
7,APPLIANCE_HOUSEHOLD_ELEC,0.023407064078492596,33.70617227302934
1,COOKING,0.021510010671251616,30.974415366602326
4,CLEANING_ELECTRIC,0.017817842218424876,25.65769279453182
3,LAUNDRY_IRON,0.011898165362207244,17.133358121578432
6,ADMIN_ON_DEVICES,0.009966418300757007,14.35164235309009
2,DISHWASHING,0.006030048275546835,8.683269516787442
13,EXERCISE_NO_MACHINE,0.0005280687320021517,0.7604189740830986
0,STATE_0,0.0,0.0
