from,to,p
COOKING,EAT_DRINK,0.1656047701040778
CARE_AT_HOME,OUT_OF_HOME,0.12111509798509522
ADMIN_ON_DEVICES,OUT_OF_HOME,0.10772819517360038
DISHWASHING,SCREENS_LEISURE,0.09776611400427368
EAT_DRINK,OUT_OF_HOME,0.09531310011769688
PERSONAL_CARE,OUT_OF_HOME,0.08935648637790951
EXERCISE_NO_MACHINE,OUT_OF_HOME,0.07447528774542993
EAT_DRINK,SCREENS_LEISURE,0.06424067520779712
QUIET_SOCIAL,OUT_OF_HOME,0.054623076089684426
PERSONAL_CARE,SCREENS_LEISURE,0.04374482458945159
PERSONAL_CARE,SLEEP,0.04344229365996835
ADMIN_ON_DEVICES,SCREENS_LEISURE,0.041836700930868664
DISHWASHING,OUT_OF_HOME,0.0393470109302315
APPLIANCE_HOUSEHOLD_ELEC,OUT_OF_HOME,0.03426284812786267
LAUNDRY_IRON,SCREENS_LEISURE,0.033710174242739116
DISHWASHING,CARE_AT_HOME,0.03200247855186962
DISHWASHING,PERSONAL_CARE,0.03162431714529144
DISHWASHING,QUIET_SOCIAL,0.031177813315837674
PERSONAL_CARE,EAT_DRINK,0.03016536717744382
COOKING,SCREENS_LEISURE,0.029986868929434547
CARE_AT_HOME,SCREENS_LEISURE,0.02962270961166904
DISHWASHING,CLEANING_ELECTRIC,0.029533039005298817
APPLIANCE_HOUSEHOLD_ELEC,SCREENS_LEISURE,0.02857800200489721
LAUNDRY_IRON,OUT_OF_HOME,0.02782896225587313
CLEANING_ELECTRIC,OUT_OF_HOME,0.02724104967775756
