,COOKING,DISHWASHING,LAUNDRY_IRON,CLEANING_ELECTRIC,SCREENS_LEISURE,ADMIN_ON_DEVICES,APPLIANCE_HOUSEHOLD_ELEC,SLEEP,EAT_DRINK,PERSONAL_CARE,CARE_AT_HOME,QUIET_SOCIAL,EXERCISE_NO_MACHINE,OUT_OF_HOME
COOKING,552440.0,6353.0,3818.0,3859.0,23476.0,3250.0,4908.0,1825.0,129648.0,10895.0,13644.0,10575.0,34.0,18151.0
DISHWASHING,3506.0,143228.0,5840.0,6482.0,21458.0,2231.0,3595.0,2041.0,1638.0,6941.0,7024.0,6843.0,20.0,8636.0
LAUNDRY_IRON,7088.0,3151.0,360335.0,7323.0,14599.0,2694.0,3674.0,2326.0,4559.0,5973.0,4198.0,5077.0,25.0,12052.0
CLEANING_ELECTRIC,8657.0,1996.0,5681.0,565307.0,14347.0,2523.0,4629.0,2625.0,5784.0,8458.0,4651.0,6224.0,30.0,17668.0
SCREENS_LEISURE,33516.0,6064.0,10213.0,9196.0,5185122.0,10064.0,16646.0,138455.0,40691.0,56733.0,21629.0,35640.0,171.0,100152.0
ADMIN_ON_DEVICES,5648.0,907.0,2357.0,1966.0,15173.0,265047.0,6123.0,4407.0,4811.0,6576.0,2855.0,7706.0,26.0,39070.0
APPLIANCE_HOUSEHOLD_ELEC,16651.0,2140.0,4279.0,4497.0,24346.0,4661.0,711644.0,5984.0,15303.0,16540.0,4216.0,12406.0,58.0,29189.0
SLEEP,37598.0,1360.0,3495.0,6948.0,24490.0,3611.0,13350.0,12055878.0,49276.0,96203.0,15027.0,11730.0,237.0,32812.0
EAT_DRINK,5114.0,39482.0,9947.0,13094.0,114239.0,9516.0,18206.0,13194.0,1280746.0,39244.0,21838.0,43928.0,254.0,169495.0
PERSONAL_CARE,25040.0,2347.0,4891.0,6976.0,53356.0,8095.0,10750.0,52987.0,36793.0,870334.0,15707.0,23297.0,148.0,108989.0
CARE_AT_HOME,17777.0,4583.0,4793.0,5399.0,27904.0,3645.0,3546.0,11786.0,11627.0,14766.0,711391.0,10620.0,55.0,114088.0
QUIET_SOCIAL,16463.0,3323.0,4237.0,4622.0,38299.0,5200.0,8385.0,36832.0,24602.0,20020.0,8540.0,1897347.0,177.0,119490.0
EXERCISE_NO_MACHINE,112.0,13.0,25.0,34.0,147.0,32.0,26.0,40.0,158.0,374.0,51.0,210.0,16549.0,1430.0
OUT_OF_HOME,52525.0,4515.0,13088.0,12718.0,107509.0,42041.0,45963.0,31259.0,172082.0,63593.0,110586.0,116010.0,1428.0,7916596.0
